"date","eurusd","t","lr_std"
2025-02-04,1.03273785114288,2,0.883050364022979
2025-02-05,1.03727984428406,3,0.377271478169332
2025-02-06,1.04008483886719,4,0.122279727472165
2025-02-07,1.03857254981995,5,-0.505532055092865
2025-02-10,1.03116166591644,6,-1.36759714173
2025-02-11,1.0301525592804,7,-0.433623872845004
2025-02-12,1.03649497032166,8,0.641582995643804
2025-02-13,1.03919863700867,9,0.107858165617039
2025-02-14,1.04616737365723,10,0.724009846381232
2025-02-17,1.0489217042923,11,0.111521435776944
2025-02-18,1.04853677749634,12,-0.341157766731411
2025-02-19,1.04483377933502,13,-0.820189565525016
2025-02-20,1.04210090637207,14,-0.68138000538605
2025-02-21,1.05005621910095,15,0.863216873862937
2025-02-24,1.04748237133026,16,-0.656471949699763
2025-02-25,1.04613447189331,17,-0.480236496111691
2025-02-26,1.05241000652313,18,0.617859438235512
2025-02-27,1.04887771606445,19,-0.793628950792445
2025-02-28,1.03951179981232,20,-1.64079527697409
2025-03-03,1.04138469696045,21,-0.0137562401061847
2025-03-04,1.04850375652313,22,0.743558509901653
2025-03-05,1.06269931793213,23,1.74597270175328
2025-03-06,1.07949388027191,24,2.08318397587225
2025-03-07,1.07879519462585,25,-0.383519963467573
2025-03-10,1.08605933189392,26,0.728165111529189
2025-03-11,1.08394038677216,27,-0.580750193559872
2025-03-12,1.09141707420349,28,0.752793050766041
2025-03-13,1.08862495422363,29,-0.672692795135372
2025-03-14,1.08556413650513,30,-0.711076219145172
2025-03-17,1.08812749385834,31,0.0706111749644519
2025-03-18,1.09191763401031,32,0.239604141985497
2025-03-19,1.09394824504852,33,-0.00501499283672252
2025-03-20,1.09119081497192,34,-0.666993323802153
2025-03-21,1.08567023277283,35,-1.05197539182887
2025-03-24,1.08357620239258,36,-0.577382293891074
2025-03-25,1.08035695552826,37,-0.735213940333191
2025-03-26,1.07874870300293,38,-0.510770809977736
2025-03-27,1.07420611381531,39,-0.92322867085205
2025-03-28,1.08010017871857,40,0.540968012850294
2025-03-30,1.08239161968231,41,0.0344632506659989
2025-03-31,1.08188807964325,42,-0.356005182985863
2025-04-01,1.07959878444672,43,-0.605725317336946
2025-04-02,1.0908694267273,44,1.28330151185893
2025-04-03,1.10437440872192,45,1.57313665710481
2025-04-06,1.09845447540283,46,-1.09771988253248
2025-04-07,1.09153616428375,47,-1.24022721239598
2025-04-08,1.09804439544678,48,0.612403071085632
2025-04-09,1.09520626068115,49,-0.676701428791367
2025-04-10,1.1257838010788,50,3.87444752987158
2025-04-13,1.13431417942047,51,0.854724728874507
2025-04-15,1.12854075431824,52,-1.0566168143991
